"","x"
"1",100.107834166667
"2",101.145992666667
"3",102.471752
"4",99.4411953333333
"5",97.7978788333333
"6",95.4406596666667
"7",91.7991003333333
"8",93.3967335
"9",91.6577528333333
"10",92.9182703333333
"11",101.752129833333
"12",97.3173145
"13",99.8200651666667
"14",98.9122
"15",99.952575
"16",105.6349635
"17",104.129797833333
"18",103.630221
"19",99.3226445
"20",97.6670085
"21",93.0768628333333
"22",96.4284595
"23",100.503743666667
"24",93.9360975
"25",96.4882558333333
"26",110.6476195
"27",105.084312166667
"28",114.324376833333
"29",107.888180333333
"30",110.060506
"31",105.347817333333
"32",108.413970666667
"33",101.018054333333
"34",104.549835333333
"35",105.820415833333
